Seite(n),Requisit,Charakter,Notizen,Tag,C,Quelle,Status,Benutzt,Änderbar,Bild
,Kruzifix,Van Helsing,zum anziehen,Schmuck,No,Staatstheater,erhalten,Yes,Yes,Requisiten%20Master%20Seed%20data%2027%2009%2025%2027bc8e3e478680489649f286f3958996/IMG_9312.png
,"Kruzifix, 3D Druck","Scenery, Van Helsing","Lucys Salon, VH bei “Zu Ende”",Religiös,No,Produziert,erhalten,Yes,No,
,Kunstblut,Scenery,welche Arten? wo gebraucht? recherchieren und abstimmen,FX-Requisiten,Yes,Gekauft,fehlt,Yes,No,
,Lappen,Wirtin,,Diverse,No,Spende,erhalten,Yes,No,
,"Laternen, 3","Arthur Holmwood, Jack Seward, Quincey Morris",,Diverse,No,Ausleihe,erhalten,Yes,No,
,Medizinische Instrumente,Jack Seward,,Medizinisch,No,Produziert,erhalten,Yes,No,
,Medizinische Tasche,Van Helsing,mit Vampire Hunter Utensilien,Taschen & Koffer,No,Staatstheater,erhalten,Yes,Yes,Requisiten%20Master%20Seed%20data%2027%2009%2025%2027bc8e3e478680489649f286f3958996/IMG_9300.png
,Messer,Dracula,,Waffen,No,Produziert,erhalten,Yes,No,
,Morphium-Injektionsset,Van Helsing,,Medizinisch,No,Produziert,erhalten,Yes,No,
,Munitionsgürtel,Quincey Morris,,Accessoires,No,Produziert,reparatur,Yes,No,
,Notizblock und Stift,Jonathan Harker,,Schreibgeräte,No,Produziert,erhalten,Yes,No,
,Notizblock und Stift,Jack Seward,,Schreibgeräte,No,Produziert,erhalten,Yes,No,
,Notizbuch,Van Helsing,Dick und gut benutzt. Wird referenziert in Szene 12.,Papierwaren,No,Gekauft,klären,Yes,No,
,Ohrhänger,Mina Murray,Silber und Rot,Schmuck,No,Produziert,erhalten,Yes,No,
,Ohrhänger,Lucy Westenra,Perle und Diamant,Schmuck,No,Produziert,erhalten,Yes,No,
,Perlenkette mit Blut Perlen,Lucy Westenra,,Schmuck,No,Gekauft,erhalten,Yes,No,
,Phiole mit Weihwasser,"Lucy Westenra, Van Helsing",,Religiös,No,Produziert,erhalten,Yes,No,
,Phiole mit Weihwasser,"Lucy Westenra, Van Helsing",,Religiös,No,Staatstheater,erhalten,No,Yes,Requisiten%20Master%20Seed%20data%2027%2009%2025%2027bc8e3e478680489649f286f3958996/IMG_9319.png
,Prop Baby,Dracula,"2 Tücher zum einwickeln, weil werden mit Blut getränkt. Um nicht auswaschen zu müssen.",Diverse,No,Gekauft,erhalten,Yes,No,
,Prop Kopf,Lucy Westenra,für die Szene im Gruft,Diverse,No,Ausleihe,erhalten,Yes,No,
,Prop-Essen,Scenery,"am Tisch fixierbar. essbar, wonach man noch singen kann.",Essen & Trinken,Yes,Produziert,reparatur,Yes,No,
,Rasiermesser,Jonathan Harker,stumm / sicher,Diverse,No,Produziert,erhalten,Yes,No,
,Revolver,Arthur Holmwood,,Waffen,No,Ausleihe,erhalten,Yes,No,
,"Rose, rot-schwarz","Dracula, Lucy Westenra, Mina Murray",,Floristik,No,Staatstheater,erhalten,Yes,Yes,
,"Rose, verwelkt","Dracula, Scenery",,Floristik,No,Staatstheater,erhalten,Yes,Yes,Requisiten%20Master%20Seed%20data%2027%2009%2025%2027bc8e3e478680489649f286f3958996/IMG_9307.png
,"Rose, weiß","Scenery, Wirtin",,Floristik,No,Staatstheater,erhalten,Yes,Yes,Requisiten%20Master%20Seed%20data%2027%2009%2025%2027bc8e3e478680489649f286f3958996/IMG_9306.png
,Rosenblüten,Scenery,,Floristik,No,Gekauft,erhalten,Yes,No,
,Runder Tisch,Scenery,Mina. Wirtin hat den Esstisch.,Möbel,No,Staatstheater,erhalten,Yes,No,
,Sarg,Dracula,Sarggesteck nachmachen?,Möbel,No,Spende,klären,Yes,No,
,Schal,Ensemble,"für die Mutter, darf mit Kunstblut beschmutzt werden",Textilien,No,Gekauft,klären,Yes,No,
,Schale,Jonathan Harker,zum rasieren und waschen,Diverse,No,Ausleihe,erhalten,Yes,No,
,Schatullen für Insekten,Scenery,Renfield,Möbel,No,Produziert,erhalten,Yes,No,
,Schreibmachine,Mina Murray,,Papierwaren,No,Ausleihe,erhalten,Yes,No,
,Schulstuhl,Scenery,"Renfield, Reprise",Möbel,No,Ausleihe,erhalten,Yes,No,
,Seil (als Aderpresse),Van Helsing,,Textilien,No,Gekauft,erhalten,Yes,No,
,Servierwagen,Scenery,,Möbel,No,Gekauft,reparatur,Yes,No,
,Sessel,Scenery,,Möbel,No,Ausleihe,erhalten,Yes,No,
